No.;Tanggal;Positive Case;PM10
1;04-Sep;44%;58
2;05-Sep;46%;40
3;06-Sep;47%;46
4;07-Sep;48%;53
5;08-Sep;46%;49
6;09-Sep;47%;56
7;10-Sep;48%;53
8;11-Sep;49%;47
9;12-Sep;50%;54
10;13-Sep;53%;61
11;14-Sep;51%;66
12;15-Sep;52%;64
13;16-Sep;52%;59
14;17-Sep;52%;56
15;18-Sep;52%;53
16;19-Sep;52%;55
17;20-Sep;53%;56
18;21-Sep;54%;53
19;22-Sep;54%;49
20;23-Sep;55%;30
21;24-Sep;55%;47
22;25-Sep;56%;43
23;26-Sep;57%;47
24;27-Sep;57%;40
25;28-Sep;58%;56
26;29-Sep;58%;49
27;30-Sep;58%;55
28;01-Oct;58%;57
29;02-Oct;58%;62
30;03-Oct;59%;54
31;04-Oct;60%;58
32;05-Oct;60%;40
33;06-Oct;60%;46
34;07-Oct;60%;53
35;08-Oct;59%;49
36;09-Oct;60%;56
37;10-Oct;60%;53
38;11-Oct;60%;47
39;12-Oct;61%;54
40;13-Oct;60%;61
41;14-Oct;60%;66
42;15-Oct;60%;64
43;16-Oct;60%;59
44;17-Oct;61%;56
45;18-Oct;61%;53
46;19-Oct;61%;55
47;20-Oct;61%;56
48;21-Oct;61%;53
49;22-Oct;61%;49
50;23-Oct;61%;30
51;24-Oct;61%;47
52;25-Oct;62%;43
53;26-Oct;62%;47
54;27-Oct;62%;40
55;28-Oct;62%;56
56;29-Oct;62%;49
57;30-Oct;61%;55
